"DrugBankIDs" "DiseaseID"
"DB00193" "MESH:D010003"
"DB00193" "MESH:D001424"
"DB00193" "MESH:D015746"
"DB00193" "MESH:D001416"
"DB00193" "MESH:D001169"
"DB00193" "MESH:D012148"
"DB00194" "MESH:D019694"
"DB00195" "MESH:D006973"
"DB00195" "MESH:D005355"
"DB00195" "MESH:D005901"
"DB00195" "MESH:D000787"
"DB00195" "MESH:D001145"
"DB00195" "MESH:D020521"
"DB00195" "MESH:D013375"
"DB00196" "MESH:D010538"
"DB00196" "MESH:D008107"
"DB00196" "MESH:D002177"
"DB00196" "MESH:D005909"
"DB00196" "MESH:D007674"
"DB00199" "MESH:D008581"
"DB00199" "MESH:D002779"
"DB00199" "MESH:D011014"
"DB00199" "MESH:D012141"
"DB00199" "MESH:D007249"
"DB00199" "MESH:D018805"
"DB00199" "MESH:D011008"
"DB00199" "MESH:D013203"
"DB00200" "MESH:D009157"
"DB00200" "MESH:D014786"
"DB00201" "MESH:D006940"
"DB00201" "MESH:D010146"
"DB00201" "MESH:D008569"
"DB00201" "MESH:D012878"
"DB00201" "MESH:D001049"
"DB00201" "MESH:D019966"
"DB00201" "MESH:D007022"
"DB00201" "MESH:D008114"
"DB00201" "MESH:D008106"
"DB00201" "MESH:D000230"
"DB00201" "MESH:D009765"
"DB00201" "MESH:D003866"
"DB00201" "MESH:D001008"
"DB00201" "MESH:D005334"
